Date, Name, Completed
2022/11/22, 109268, True
2022/11/23, 49669, True
2022/11/25, 49669, True
2022/11/29, 45238, True
2022/11/30, moon, True
2022/12/05, 113368, True
2022/12/07, 113368, True
2022/12/09, 113368, True
2022/12/10, 45238, True
2022/12/11, 45238, True
2022/12/12, 45238, True
2022/12/13, 45238, False
2022/12/14, 45238 False
2022/12/15, 45238 False
2022/12/15, moon, False
2022/12/16, moon, False
2022/12/16, 45238, False
2022/12/20, 45238, False
2023/01/05, 7588, False
2023/01/20, 60718, False


